Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"Adolescent Health, Medicine and Therapeutics","Adolesc Health Med Ther","","1179-318X","Dove Press","","v.15;2024","v.1;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/2377/
"Advances and Applications in Bioinformatics and Chemistry : AABC","Adv Appl Bioinform Chem","","1178-6949","Dove Press","","v.17;2024","v.1;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/1642/
"Advances in Bioinformatics","Adv Bioinformatics","1687-8027","1687-8035","Wiley","","v.2020;2020","v.2008;2008","","All"," Full "," No New Content ",http://europepmc.org/journals/264/
"Advanced Biomedical Research","Adv Biomed Res","","2277-9175","Wolters Kluwer -- Medknow Publications","","v.13;2024","v.1;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/1990/
"Advances in Cognitive Psychology","Adv Cogn Psychol","","1895-1171","University of Economics and Human Sciences in Warsaw","","v.17(3);2021","v.3;2007","","All"," Full "," No New Content ",http://europepmc.org/journals/278/
"Advances in Dental Research","Adv Dent Res","0895-9374","1544-0737","International and American Associations for Dental Research","","v.30(3);Dec 2019","v.23;2011","12 months","No"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Dent+Res%22%5Bjournal%5D
"Advances in Drug and Alcohol Research","Adv Drug Alcohol Res","","2674-0001","Frontiers Media SA","","v.4;2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4598/
"Advanced Genetics","Adv Genet (Hoboken)","","2641-6573","Wiley","","v.5(2);Jun 2024","v.1;2020","Immediate","Some"," Full "," ",http://europepmc.org/journals/4362/
"Advances in Hematology","Adv Hematol","1687-9104","1687-9112","Wiley","","v.2024;2024","v.2009;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/279/
"Advanced Journal of Emergency Medicine","Adv J Emerg Med","","2588-400X","Tehran University of Medical Sciences","","v.4(2);Spring 2020","v.1;2017","","All"," Full "," No New Content ",http://europepmc.org/journals/3663/
"Advances in Laboratory Medicine","Adv Lab Med","","2628-491X","De Gruyter","","v.5(1);Mar 2024","v.1;2020","Immediate","All"," Full "," ",http://europepmc.org/journals/4490/
"Advances in Medicine","Adv Med","2356-6752","2314-758X","Wiley","","v.2024;2024","v.2014;2014","Immediate","All"," Full "," ",http://europepmc.org/journals/2798/
"Advances in Medical Education and Practice","Adv Med Educ Pract","","1179-7258","Dove Press","","v.15;2024","v.1;2010","Immediate","All"," Full "," ",http://europepmc.org/journals/2131/
"Advances in Nutrition","Adv Nutr","2161-8313","2156-5376","American Society for Nutrition","","v.15(6);Jun 2024","v.1;2010","Immediate","Some"," Full "," ",http://europepmc.org/journals/1551/
"Advances in Ophthalmology Practice and Research","Adv Ophthalmol Pract Res","","2667-3762","Elsevier","","v.4(3);Aug-Sep 2024","v.1;2021","Immediate","All"," Full "," ",http://europepmc.org/journals/4560/
"Advances in Orthopedics","Adv Orthop","2090-3464","2090-3472","Wiley","","v.2024;2024","v.2011;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/1658/
"Advanced Pharmaceutical Bulletin","Adv Pharm Bull","2228-5881","2251-7308","Tabriz University of Medical Sciences","","v.14(1);Mar 2024","v.1;2011","Immediate","Some"," Full "," ",http://europepmc.org/journals/2290/
"Advances in Pharmacological and Pharmaceutical Sciences","Adv Pharmacol Pharm Sci","","2633-4690","Wiley","","v.2024;2024","v.2020;2020","Immediate","All"," Full "," ",http://europepmc.org/journals/3825/
"Advances in Pharmacological Sciences","Adv Pharmacol Sci","1687-6334","1687-6342","Wiley","","v.2018;2021","v.2008;2008","Immediate","All"," Full "," Predecessor ",http://europepmc.org/journals/1418/
"Advances in Physiology Education","Adv Physiol Educ","1043-4046","1522-1229","American Physiological Society","","v.47(3);Sep 1, 2023","v.33;2009","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Physiol+Educ%22%5Bjournal%5D
"Advances in Preventive Medicine","Adv Prev Med","2090-3480","2090-3499","Wiley","","v.2023;2023","v.2011;2011","Immediate","All"," Full "," ",http://europepmc.org/journals/1659/
"Advances in Radiation Oncology","Adv Radiat Oncol","","2452-1094","Elsevier","","v.9(7);Jul 2024","v.1;2016","Immediate","Some"," Full "," ",http://europepmc.org/journals/3212/
"Advances in Rehabilitation Science and Practice","Adv Rehabil Sci Pract","","2753-6351","SAGE Publications","","v.13;Jan-Dec 2024","v.12;2023","Immediate","All"," Full "," ",http://europepmc.org/journals/4391/
"Advances in Respiratory Medicine","Adv Respir Med","2451-4934","2543-6031","Multidisciplinary Digital Publishing Institute  (MDPI)","","v.92(3);Jun 2024","v.90;2022","Immediate","All"," Full "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Respir+Med%22%5Bjournal%5D
"Advanced Science","Adv Sci (Weinh)","","2198-3844","Wiley","","v.11(23);Jun 2024","v.1;2014","Immediate","Some"," Full "," ",http://europepmc.org/journals/3096/
"Advances in Simulation","Adv Simul (Lond)","","2059-0628","BMC","","v.9;2024","v.1;2016","Immediate","All"," Full "," ",http://europepmc.org/journals/3347/
"Advances in Urology","Adv Urol","1687-6369","1687-6377","Wiley","","v.2024;2024","v.2008;2008","Immediate","All"," Full "," ",http://europepmc.org/journals/280/
"Advances in Virology","Adv Virol","1687-8639","1687-8647","Wiley","","v.2024;2024","v.2009;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/1772/
"Advances in Wound Care","Adv Wound Care (New Rochelle)","2162-1918","2162-1934","Mary Ann Liebert, Inc.","","v.13(4);April 2024","v.1;2012","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Adv+Wound+Care+(New+Rochelle)%22%5Bjournal%5D
"AEM Education and Training","AEM Educ Train","","2472-5390","Wiley","","v.8(3);Jun 2024","v.1;2017","12 months","Some"," Full "," ",http://europepmc.org/journals/3457/
"The Aesculapian","Aesculapian","0898-1957","","Medical Library Association","","v.1(3-4);Jun 1909","v.1;1908","Immediate","No"," Full "," Predecessor ",http://europepmc.org/journals/282/
"Aesthetic Surgery Journal","Aesthet Surg J","1090-820X","1527-330X","Oxford University Press","","v.44(7);Jul 2024","v.35;2015","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Aesthet+Surg+J%22%5Bjournal%5D
"Aesthetic Surgery Journal. Open Forum","Aesthet Surg J Open Forum","","2631-4797","Oxford University Press","","v.6;2024","v.1;2019","Immediate","Some"," Full "," ",http://europepmc.org/journals/4054/
"Affective Science","Affect Sci","2662-2041","2662-205X","Springer","","v.5(1);Mar 2024","v.1;2020","12 months","Some"," Full "," ",http://europepmc.org/journals/4291/
"African Health Sciences","Afr Health Sci","1680-6905","1729-0503","Makerere University Medical School","","v.23(3);Sep 2023","v.1;2001","Immediate","Some"," Full "," ",http://europepmc.org/journals/283/
"African Journal of Disability","Afr J Disabil","2223-9170","2226-7220","AOSIS","","v.13;2024","v.1;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/3211/
"African Journal of Emergency Medicine","Afr J Emerg Med","2211-419X","2211-4203","African Federation for Emergency Medicine","","v.14(2);Jun 2024","v.6;2016","Immediate","All"," Full "," ",http://europepmc.org/journals/3544/
"African Journal of Infectious Diseases","Afr J Infect Dis","2006-0165","2505-0419","African Traditional Herbal Medicine Supporters Initiative","","v.18(2);2024","v.4;2010","Immediate","Some"," Full "," ",http://europepmc.org/journals/2150/
"African Journal of Laboratory Medicine","Afr J Lab Med","2225-2002","2225-2010","AOSIS","","v.13(1);2024","v.1;2012","Immediate","All"," Full "," ",http://europepmc.org/journals/3232/
"African Journal of Paediatric Surgery: AJPS","Afr J Paediatr Surg","0189-6725","0974-5998","Wolters Kluwer -- Medknow Publications","","v.21(2);Apr-Jun 2024","v.12;2015","Immediate","All"," Full "," ",http://europepmc.org/journals/3023/
"African Journal of Primary Health Care &#x0026; Family Medicine","Afr J Prim Health Care Fam Med","2071-2928","2071-2936","AOSIS","","v.16(1);2024","v.1;2009","Immediate","Some"," Full "," ",http://europepmc.org/journals/2873/
"African Journal of Thoracic and Critical Care Medicine","Afr J Thorac Crit Care Med","2617-0191","2617-0205","South African Medical Association","","v.30(1);2024","v.24;2018","Immediate","All"," Full "," ",http://europepmc.org/journals/4093/
"African Journal of Traditional, Complementary, and Alternative Medicines","Afr J Tradit Complement Altern Med","0189-6016","2505-0044","African Traditional Herbal Medicine Supporters Initiative","","v.14(4);2017","v.4;2007","","Some"," Full "," No New Content ",http://europepmc.org/journals/306/
"Age","Age (Dordr)","0161-9152","1574-4647","American Aging Association","","v.38(5-6);Dec 2016","v.27;2005","12 months or less","Some"," Full "," Predecessor ",http://europepmc.org/journals/284/
"Age","Age (Omaha)","","","American Aging Association","","v.22(4);Oct 1999","v.20;1997","12 months","No"," Full "," Predecessor ",http://europepmc.org/journals/2082/
"Age and Ageing","Age Ageing","0002-0729","1468-2834","Oxford University Press","","v.53(6);Jun 2024","v.35;2006","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22Age+Ageing%22%5Bjournal%5D
"Aging (Albany NY)","Aging (Albany NY)","","1945-4589","Impact Journals, LLC","","v.16(10);May 30, 2024","v.1;2009","Immediate","All"," Full "," ",http://europepmc.org/journals/287/
"Aging Brain","Aging Brain","","2589-9589","Elsevier","","v.5;2024","v.1;2021","Immediate","Some"," Full "," ",http://europepmc.org/journals/4410/
"Aging Cell","Aging Cell","1474-9718","1474-9726","Wiley","","v.23(6);Jun 2024","v.7;2008","Immediate","Some"," Full "," ",http://europepmc.org/journals/2662/
"Aging and Disease","Aging Dis","","2152-5250","JKL International LLC","","v.15(3);May 7, 2024","v.1;2010","Immediate","Some"," Full "," ",http://europepmc.org/journals/1797/
"Aging Medicine","Aging Med (Milton)","","2475-0360","Wiley","","v.7(2);Apr 2024","v.1;2018","Immediate","Some"," Full "," ",http://europepmc.org/journals/3761/
"AIDS Patient Care and STDs","AIDS Patient Care STDS","1087-2914","1557-7449","Mary Ann Liebert, Inc.","","v.38(2);February 2024","v.22;2008","12 months","Some"," NIH Portfolio "," ",https://www.ncbi.nlm.nih.gov/pmc/?term=%22AIDS+Patient+Care+STDS%22%5Bjournal%5D
